Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha,tavg_avg_7d,tmin_avg_7d,tmax_avg_7d,prcp_avg_7d,wspd_avg_7d,pres_avg_7d
Syrah,San Carlos,25,16.45,3.27,8.94,28,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Syrah,San Carlos,30,17.81,3.26,8.63,23,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Syrah,San Carlos,35,20.4,3.24,8.24,18,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Syrah,San Carlos,40,19.76,3.35,7.8,13,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Syrah,San Carlos,45,21.92,3.37,6.69,8,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Syrah,San Carlos,53,23.55,3.44,6.4,0,2022-03-09,19.21,13.63,25.27,2.4,7.87,1010.31
Malbec,San Carlos,15,13.86,3.16,10.64,51,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Malbec,San Carlos,20,14.46,3.2,9.99,46,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Malbec,San Carlos,25,15.08,3.11,9.5,41,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Malbec,San Carlos,30,17.19,3.21,9.18,36,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Malbec,San Carlos,35,17.58,3.18,9.1,31,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Malbec,San Carlos,40,19.12,3.32,8.86,26,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Malbec,San Carlos,45,18.88,3.43,7.69,21,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Malbec,San Carlos,50,19.97,3.37,8.02,16,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Malbec,San Carlos,55,21.66,3.37,6.61,11,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Malbec,San Carlos,60,22.67,3.35,6.16,6,2022-03-16,18.23,12.46,24.17,0.2,7.53,1016.4
Malbec,San Carlos,66,25.57,3.84,3.67,0,2022-03-22,17.56,12.06,23.74,0.01,7.31,1013.96
Cabernet,Drummond,15,13.33,3.22,10.6,44,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Cabernet,Drummond,20,15.03,3.18,10.32,39,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Cabernet,Drummond,25,16.2,3.25,10.0,34,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Cabernet,Drummond,30,17.23,3.24,9.08,29,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Cabernet,Drummond,35,18.87,3.32,8.76,24,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Cabernet,Drummond,40,19.16,3.3,7.77,19,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Cabernet,Drummond,45,20.04,3.39,7.29,14,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Cabernet,Drummond,50,22.48,3.36,7.38,9,2022-03-06,23.5,17.36,26.66,0.6,7.94,1011.17
Cabernet,Drummond,59,22.56,3.4,6.16,0,2022-03-15,20.53,13.51,25.23,0.0,7.79,1015.36
Syrah,San Carlos,15,14.27,3.15,10.61,40,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Syrah,San Carlos,20,15.41,3.14,9.65,35,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Syrah,San Carlos,25,16.74,3.26,9.27,30,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Syrah,San Carlos,30,17.7,3.34,8.55,25,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Syrah,San Carlos,35,19.18,3.31,8.12,20,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Syrah,San Carlos,40,20.73,3.4,7.88,15,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Syrah,San Carlos,45,22.11,3.41,7.3,10,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Syrah,San Carlos,50,22.57,3.47,6.51,5,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Syrah,San Carlos,55,24.05,3.53,5.75,0,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Syrah,Agrelo,15,15.93,3.16,9.98,28,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,16.67,3.32,9.48,23,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,18.39,3.29,8.53,18,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,19.05,3.33,8.08,13,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,21.28,3.41,6.76,8,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,43,24.7,3.57,6.67,0,2022-02-27,19.11,13.16,21.9,2.24,7.71,1012.7
Malbec,San Carlos,15,13.24,3.13,11.01,48,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Malbec,San Carlos,20,14.87,3.15,10.09,43,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Malbec,San Carlos,25,15.05,3.2,9.53,38,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Malbec,San Carlos,30,16.83,3.2,9.3,33,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Malbec,San Carlos,35,18.54,3.27,8.79,28,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Malbec,San Carlos,40,19.23,3.3,8.26,23,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Malbec,San Carlos,45,20.01,3.36,7.48,18,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Malbec,San Carlos,50,21.12,3.42,7.67,13,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Malbec,San Carlos,55,22.7,3.54,6.53,8,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Malbec,San Carlos,63,25.57,3.84,3.67,0,2022-03-19,18.99,13.19,25.21,0.21,7.41,1014.54
Cabernet,San Carlos,15,12.78,3.08,10.68,51,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Cabernet,San Carlos,20,14.41,3.25,10.47,46,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Cabernet,San Carlos,25,15.01,3.14,9.87,41,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Cabernet,San Carlos,30,15.7,3.32,9.63,36,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Cabernet,San Carlos,35,17.19,3.18,9.22,31,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Cabernet,San Carlos,40,18.43,3.36,7.89,26,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Cabernet,San Carlos,45,19.25,3.34,7.92,21,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Cabernet,San Carlos,50,20.38,3.41,7.13,16,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Cabernet,San Carlos,55,21.6,3.42,7.15,11,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Cabernet,San Carlos,60,23.08,3.4,6.09,6,2022-03-16,18.23,12.46,24.17,0.2,7.53,1016.4
Cabernet,San Carlos,66,24.43,3.51,5.87,0,2022-03-22,17.56,12.06,23.74,0.01,7.31,1013.96
Cabernet,San Carlos,15,13.75,3.09,10.72,49,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Cabernet,San Carlos,20,15.05,3.03,9.93,44,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Cabernet,San Carlos,25,15.77,3.26,9.72,39,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Cabernet,San Carlos,30,16.59,3.31,9.57,34,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Cabernet,San Carlos,35,17.22,3.28,8.83,29,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Cabernet,San Carlos,40,19.61,3.36,8.22,24,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Cabernet,San Carlos,45,19.95,3.26,8.07,19,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Cabernet,San Carlos,50,21.26,3.45,7.27,14,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Cabernet,San Carlos,55,22.1,3.41,6.5,9,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Cabernet,San Carlos,64,22.82,3.38,6.65,0,2022-03-20,18.63,12.99,24.8,0.21,7.64,1014.99
Syrah,Agrelo,15,13.68,3.24,9.77,31,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,16.37,3.18,9.89,26,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,17.63,3.33,8.76,21,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,19.31,3.36,7.93,16,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,20.01,3.32,7.45,11,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,40,21.93,3.33,6.94,6,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Syrah,Agrelo,46,24.7,3.57,6.67,0,2022-03-02,21.1,14.29,24.41,1.09,7.1,1011.53
Cabernet,Drummond,15,12.94,3.1,10.23,47,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Cabernet,Drummond,20,14.61,3.12,10.07,42,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Cabernet,Drummond,25,15.8,3.2,9.6,37,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Cabernet,Drummond,30,16.87,3.32,9.02,32,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Cabernet,Drummond,35,17.97,3.33,8.75,27,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Cabernet,Drummond,40,18.85,3.37,7.87,22,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Cabernet,Drummond,45,20.05,3.32,7.82,17,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Cabernet,Drummond,50,21.89,3.41,7.18,12,2022-03-06,23.5,17.36,26.66,0.6,7.94,1011.17
Cabernet,Drummond,55,21.98,3.41,6.32,7,2022-03-11,21.31,15.49,24.7,1.36,8.19,1011.53
Cabernet,Drummond,62,22.46,3.46,6.1,0,2022-03-18,21.83,15.07,26.4,0.0,8.13,1014.43
Syrah,San Carlos,15,15.2,3.05,10.56,36,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Syrah,San Carlos,20,15.85,3.18,9.22,31,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Syrah,San Carlos,25,17.16,3.14,9.05,26,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Syrah,San Carlos,30,17.93,3.23,8.83,21,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Syrah,San Carlos,35,19.59,3.35,8.15,16,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Syrah,San Carlos,40,20.98,3.41,7.54,11,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Syrah,San Carlos,45,22.64,3.46,7.24,6,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Syrah,San Carlos,51,24.35,3.49,5.84,0,2022-03-07,19.37,13.87,25.2,2.43,7.66,1011.26
Malbec,Drummond,15,14.99,3.09,10.24,30,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Malbec,Drummond,20,15.65,3.24,10.17,25,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Malbec,Drummond,25,16.97,3.27,8.54,20,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Malbec,Drummond,30,19.03,3.37,8.33,15,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Malbec,Drummond,35,21.27,3.35,8.06,10,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Malbec,Drummond,40,21.56,3.39,6.72,5,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Malbec,Drummond,45,23.76,3.77,3.99,0,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Malbec,Drummond,15,14.34,3.17,10.17,38,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Malbec,Drummond,20,15.51,3.22,9.35,33,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Malbec,Drummond,25,16.47,3.27,9.68,28,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Malbec,Drummond,30,18.34,3.37,8.48,23,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Malbec,Drummond,35,19.37,3.37,7.34,18,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Malbec,Drummond,40,21.32,3.28,7.77,13,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Malbec,Drummond,45,22.23,3.31,6.22,8,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Malbec,Drummond,53,23.76,3.77,3.99,0,2022-03-09,22.61,16.59,25.97,1.36,7.1,1010.11
Cabernet,Drummond,15,13.94,3.11,10.92,53,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Cabernet,Drummond,20,14.62,3.12,10.35,48,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Cabernet,Drummond,25,15.48,3.14,10.29,43,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Cabernet,Drummond,30,16.16,3.22,9.07,38,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Cabernet,Drummond,35,16.82,3.15,8.93,33,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Cabernet,Drummond,40,19.49,3.24,9.36,28,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Cabernet,Drummond,45,19.97,3.31,8.04,23,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Cabernet,Drummond,50,20.23,3.45,7.74,18,2022-03-06,23.5,17.36,26.66,0.6,7.94,1011.17
Cabernet,Drummond,55,21.91,3.42,7.11,13,2022-03-11,21.31,15.49,24.7,1.36,8.19,1011.53
Cabernet,Drummond,60,22.52,3.42,6.27,8,2022-03-16,20.79,13.77,25.33,0.0,7.9,1016.21
Cabernet,Drummond,68,23.79,3.4,6.18,0,2022-03-24,19.59,12.76,23.26,0.09,7.97,1012.84
Syrah,Agrelo,15,14.07,3.11,10.3,34,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,16.66,3.27,10.03,29,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,16.89,3.21,8.9,24,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,18.6,3.36,7.82,19,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,20.76,3.35,7.59,14,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,40,20.92,3.33,7.35,9,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Syrah,Agrelo,49,22.89,3.39,6.1,0,2022-03-05,23.37,16.31,27.21,0.23,7.13,1010.76
Cabernet,Drummond,15,14.27,3.07,10.58,37,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Cabernet,Drummond,20,15.04,3.15,9.48,32,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Cabernet,Drummond,25,16.77,3.17,9.1,27,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Cabernet,Drummond,30,18.29,3.34,8.59,22,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Cabernet,Drummond,35,18.75,3.34,7.64,17,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Cabernet,Drummond,40,20.21,3.32,6.81,12,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Cabernet,Drummond,45,21.83,3.49,7.48,7,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Cabernet,Drummond,52,23.17,3.54,6.11,0,2022-03-08,22.74,16.77,26.4,1.36,7.24,1010.4
Syrah,San Carlos,15,13.94,3.23,9.9,40,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Syrah,San Carlos,20,16.49,3.26,9.81,35,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Syrah,San Carlos,25,16.21,3.19,9.31,30,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Syrah,San Carlos,30,17.54,3.3,8.64,25,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Syrah,San Carlos,35,19.62,3.32,8.1,20,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Syrah,San Carlos,40,20.69,3.28,7.74,15,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Syrah,San Carlos,45,21.47,3.34,6.58,10,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Syrah,San Carlos,50,23.23,3.5,6.6,5,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Syrah,San Carlos,55,24.86,3.52,6.37,0,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Malbec,San Carlos,15,13.77,3.16,10.38,44,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Malbec,San Carlos,20,14.91,3.11,10.24,39,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Malbec,San Carlos,25,15.84,3.19,9.77,34,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Malbec,San Carlos,30,16.77,3.18,8.48,29,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Malbec,San Carlos,35,18.61,3.23,8.97,24,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Malbec,San Carlos,40,18.45,3.42,8.0,19,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Malbec,San Carlos,45,20.63,3.35,7.54,14,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Malbec,San Carlos,50,21.85,3.48,6.95,9,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Malbec,San Carlos,59,23.13,3.45,6.39,0,2022-03-15,18.0,11.97,24.09,0.2,7.26,1015.56
Cabernet,Agrelo,15,13.14,3.11,10.06,40,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Cabernet,Agrelo,20,16.02,3.24,10.16,35,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Cabernet,Agrelo,25,16.42,3.29,9.27,30,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Cabernet,Agrelo,30,18.32,3.27,8.52,25,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Cabernet,Agrelo,35,19.81,3.32,7.91,20,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Cabernet,Agrelo,40,19.73,3.32,7.89,15,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Cabernet,Agrelo,45,21.41,3.52,7.45,10,2022-03-01,20.19,14.0,22.93,1.4,7.23,1012.41
Cabernet,Agrelo,50,22.86,3.52,6.4,5,2022-03-06,23.0,16.86,26.16,0.6,7.94,1011.17
Cabernet,Agrelo,55,23.07,3.45,6.04,0,2022-03-11,20.81,14.99,24.2,1.36,8.19,1011.53
Malbec,Agrelo,15,14.17,3.19,10.13,34,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
