Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha
Cabernet,Drummond,25,15.8,3.2,9.6,37,09/02
Cabernet,Drummond,30,16.87,3.32,9.02,32,14/02
Cabernet,Drummond,35,17.97,3.33,8.75,27,19/02
Cabernet,Drummond,40,18.85,3.37,7.87,22,24/02
Cabernet,Drummond,45,20.05,3.32,7.82,17,01/03
Cabernet,Drummond,50,21.89,3.41,7.18,12,06/03
Cabernet,Drummond,55,21.98,3.41,6.32,7,11/03
Cabernet,Drummond,62,22.46,3.46,6.1,0,18/03
Syrah,San Carlos,15,15.2,3.05,10.56,36,30/01
Syrah,San Carlos,20,15.85,3.18,9.22,31,04/02
Syrah,San Carlos,25,17.16,3.14,9.05,26,09/02
Syrah,San Carlos,30,17.93,3.23,8.83,21,14/02
Syrah,San Carlos,35,19.59,3.35,8.15,16,19/02
Syrah,San Carlos,40,20.98,3.41,7.54,11,24/02
Syrah,San Carlos,45,22.64,3.46,7.24,6,01/03
Syrah,San Carlos,51,24.35,3.49,5.84,0,07/03
Malbec,Drummond,15,14.99,3.09,10.24,30,30/01
Malbec,Drummond,20,15.65,3.24,10.17,25,04/02
Malbec,Drummond,25,16.97,3.27,8.54,20,09/02
Malbec,Drummond,30,19.03,3.37,8.33,15,14/02
Malbec,Drummond,35,21.27,3.35,8.06,10,19/02
Malbec,Drummond,40,21.56,3.39,6.72,5,24/02
Malbec,Drummond,45,23.76,3.77,3.99,0,01/03
Malbec,Drummond,15,14.34,3.17,10.17,38,30/01
Malbec,Drummond,20,15.51,3.22,9.35,33,04/02
Malbec,Drummond,25,16.47,3.27,9.68,28,09/02
Malbec,Drummond,30,18.34,3.37,8.48,23,14/02
Malbec,Drummond,35,19.37,3.37,7.34,18,19/02
Malbec,Drummond,40,21.32,3.28,7.77,13,24/02
Malbec,Drummond,45,22.23,3.31,6.22,8,01/03
Malbec,Drummond,53,23.76,3.77,3.99,0,09/03
Cabernet,Drummond,15,13.94,3.11,10.92,53,30/01
Cabernet,Drummond,20,14.62,3.12,10.35,48,04/02
Cabernet,Drummond,25,15.48,3.14,10.29,43,09/02
Cabernet,Drummond,30,16.16,3.22,9.07,38,14/02
Cabernet,Drummond,35,16.82,3.15,8.93,33,19/02
Cabernet,Drummond,40,19.49,3.24,9.36,28,24/02
Cabernet,Drummond,45,19.97,3.31,8.04,23,01/03
Cabernet,Drummond,50,20.23,3.45,7.74,18,06/03
Cabernet,Drummond,55,21.91,3.42,7.11,13,11/03
Cabernet,Drummond,60,22.52,3.42,6.27,8,16/03
Cabernet,Drummond,68,23.79,3.4,6.18,0,24/03
Syrah,Agrelo,15,14.07,3.11,10.3,34,30/01
Syrah,Agrelo,20,16.66,3.27,10.03,29,04/02
Syrah,Agrelo,25,16.89,3.21,8.9,24,09/02
Syrah,Agrelo,30,18.6,3.36,7.82,19,14/02
Syrah,Agrelo,35,20.76,3.35,7.59,14,19/02
Syrah,Agrelo,40,20.92,3.33,7.35,9,24/02
Syrah,Agrelo,49,22.89,3.39,6.1,0,05/03
Cabernet,Drummond,15,14.27,3.07,10.58,37,30/01
Cabernet,Drummond,20,15.04,3.15,9.48,32,04/02
Cabernet,Drummond,25,16.77,3.17,9.1,27,09/02
Cabernet,Drummond,30,18.29,3.34,8.59,22,14/02
Cabernet,Drummond,35,18.75,3.34,7.64,17,19/02
Cabernet,Drummond,40,20.21,3.32,6.81,12,24/02
Cabernet,Drummond,45,21.83,3.49,7.48,7,01/03
Cabernet,Drummond,52,23.17,3.54,6.11,0,08/03
Syrah,San Carlos,15,13.94,3.23,9.9,40,30/01
Syrah,San Carlos,20,16.49,3.26,9.81,35,04/02
Syrah,San Carlos,25,16.21,3.19,9.31,30,09/02
Syrah,San Carlos,30,17.54,3.3,8.64,25,14/02
Syrah,San Carlos,35,19.62,3.32,8.1,20,19/02
Syrah,San Carlos,40,20.69,3.28,7.74,15,24/02
Syrah,San Carlos,45,21.47,3.34,6.58,10,01/03
Syrah,San Carlos,50,23.23,3.5,6.6,5,06/03
Syrah,San Carlos,55,24.86,3.52,6.37,0,11/03
Malbec,San Carlos,15,13.77,3.16,10.38,44,30/01
Malbec,San Carlos,20,14.91,3.11,10.24,39,04/02
Malbec,San Carlos,25,15.84,3.19,9.77,34,09/02
Malbec,San Carlos,30,16.77,3.18,8.48,29,14/02
Malbec,San Carlos,35,18.61,3.23,8.97,24,19/02
Malbec,San Carlos,40,18.45,3.42,8.0,19,24/02
Malbec,San Carlos,45,20.63,3.35,7.54,14,01/03
Malbec,San Carlos,50,21.85,3.48,6.95,9,06/03
Malbec,San Carlos,59,23.13,3.45,6.39,0,15/03
Cabernet,Agrelo,15,13.14,3.11,10.06,40,30/01
Cabernet,Agrelo,20,16.02,3.24,10.16,35,04/02
Cabernet,Agrelo,25,16.42,3.29,9.27,30,09/02
Cabernet,Agrelo,30,18.32,3.27,8.52,25,14/02
Cabernet,Agrelo,35,19.81,3.32,7.91,20,19/02
Cabernet,Agrelo,40,19.73,3.32,7.89,15,24/02
Cabernet,Agrelo,45,21.41,3.52,7.45,10,01/03
Cabernet,Agrelo,50,22.86,3.52,6.4,5,06/03
Cabernet,Agrelo,55,23.07,3.45,6.04,0,11/03
Malbec,Agrelo,15,14.17,3.19,10.13,34,30/01
Malbec,Agrelo,20,16.09,3.28,9.51,29,04/02
Malbec,Agrelo,25,17.42,3.17,8.9,24,09/02
Malbec,Agrelo,30,17.96,3.31,8.4,19,14/02
Malbec,Agrelo,35,20.12,3.33,8.4,14,19/02
Malbec,Agrelo,40,20.79,3.34,7.6,9,24/02
Malbec,Agrelo,49,22.51,3.41,7.18,0,05/03
Syrah,Drummond,15,14.88,3.21,10.23,31,30/01
Syrah,Drummond,20,15.3,3.18,9.32,26,04/02
Syrah,Drummond,25,17.57,3.3,8.79,21,09/02
Syrah,Drummond,30,18.46,3.35,8.27,16,14/02
Syrah,Drummond,35,20.93,3.43,7.68,11,19/02
Syrah,Drummond,40,22.4,3.43,6.28,6,24/02
Syrah,Drummond,46,23.91,3.5,6.21,0,02/03
Cabernet,Drummond,15,12.5,3.07,10.84,52,30/01
Cabernet,Drummond,20,14.08,3.1,10.41,47,04/02
Cabernet,Drummond,25,15.62,3.18,9.56,42,09/02
Cabernet,Drummond,30,17.36,3.24,8.93,37,14/02
Cabernet,Drummond,35,18.02,3.22,9.69,32,19/02
Cabernet,Drummond,40,18.4,3.35,7.79,27,24/02
Cabernet,Drummond,45,18.76,3.4,8.07,22,01/03
Cabernet,Drummond,50,21.47,3.4,7.57,17,06/03
Cabernet,Drummond,55,22.35,3.46,7.02,12,11/03
Cabernet,Drummond,60,21.99,3.33,6.5,7,16/03
Cabernet,Drummond,67,22.99,3.61,5.98,0,23/03
Syrah,Agrelo,15,13.36,3.06,9.94,35,30/01
Syrah,Agrelo,20,16.0,3.18,9.36,30,04/02
Syrah,Agrelo,25,16.5,3.2,8.42,25,09/02
Syrah,Agrelo,30,17.8,3.25,8.6,20,14/02
Syrah,Agrelo,35,19.72,3.31,8.49,15,19/02
Syrah,Agrelo,40,20.87,3.46,7.69,10,24/02
Syrah,Agrelo,45,21.82,3.45,6.44,5,01/03
Syrah,Agrelo,50,24.7,3.57,6.67,0,06/03
Cabernet,Agrelo,15,13.94,3.06,10.52,39,30/01
Cabernet,Agrelo,20,16.41,3.19,9.27,34,04/02
Cabernet,Agrelo,25,16.57,3.23,9.2,29,09/02
Cabernet,Agrelo,30,18.25,3.35,8.87,24,14/02
Cabernet,Agrelo,35,19.01,3.38,7.66,19,19/02
Cabernet,Agrelo,40,20.01,3.34,7.55,14,24/02
Cabernet,Agrelo,45,21.92,3.41,6.73,9,01/03
Cabernet,Agrelo,54,23.45,3.45,6.48,0,10/03
Cabernet,San Carlos,15,13.64,3.12,11.2,51,30/01
Cabernet,San Carlos,20,14.65,3.21,10.22,46,04/02
Cabernet,San Carlos,25,15.38,3.28,9.61,41,09/02
Cabernet,San Carlos,30,16.64,3.21,9.19,36,14/02
Cabernet,San Carlos,35,16.84,3.23,8.54,31,19/02
Cabernet,San Carlos,40,18.78,3.36,8.34,26,24/02
Cabernet,San Carlos,45,19.66,3.33,7.67,21,01/03
Cabernet,San Carlos,50,21.04,3.41,6.89,16,06/03
Cabernet,San Carlos,55,21.53,3.37,6.88,11,11/03
Cabernet,San Carlos,60,22.39,3.45,6.45,6,16/03
Cabernet,San Carlos,66,23.61,3.55,6.26,0,22/03
Cabernet,San Carlos,15,13.15,3.16,10.79,45,30/01
Cabernet,San Carlos,20,14.32,3.16,10.61,40,04/02
Cabernet,San Carlos,25,15.46,3.12,9.91,35,09/02
Cabernet,San Carlos,30,17.57,3.23,8.97,30,14/02
Cabernet,San Carlos,35,17.55,3.3,8.85,25,19/02
Cabernet,San Carlos,40,19.06,3.38,8.14,20,24/02
Cabernet,San Carlos,45,20.79,3.35,7.39,15,01/03
Cabernet,San Carlos,50,20.74,3.39,7.35,10,06/03
Cabernet,San Carlos,55,22.37,3.42,6.69,5,11/03
Cabernet,San Carlos,60,24.2,3.53,5.65,0,16/03
Syrah,San Carlos,15,14.9,3.21,9.7,43,30/01
Syrah,San Carlos,20,15.08,3.16,10.42,38,04/02
Syrah,San Carlos,25,16.79,3.23,8.94,33,09/02
Syrah,San Carlos,30,16.95,3.24,8.5,28,14/02
Syrah,San Carlos,35,19.03,3.23,8.97,23,19/02
Syrah,San Carlos,40,20.64,3.33,7.96,18,24/02
Syrah,San Carlos,45,20.83,3.43,7.73,13,01/03
Syrah,San Carlos,50,22.2,3.45,6.64,8,06/03
Syrah,San Carlos,58,23.49,3.48,6.04,0,14/03
Syrah,San Carlos,15,13.88,3.22,10.19,43,30/01
Syrah,San Carlos,20,14.85,3.16,9.91,38,04/02
Syrah,San Carlos,25,15.94,3.18,9.47,33,09/02
Syrah,San Carlos,30,16.71,3.31,9.08,28,14/02
Syrah,San Carlos,35,18.2,3.28,8.46,23,19/02
Syrah,San Carlos,40,19.26,3.44,7.97,18,24/02
Syrah,San Carlos,45,21.06,3.42,7.17,13,01/03
Syrah,San Carlos,50,22.61,3.44,7.11,8,06/03
Syrah,San Carlos,58,23.18,3.54,6.43,0,14/03
Cabernet,San Carlos,15,14.05,3.19,11.05,56,30/01
Cabernet,San Carlos,20,15.13,3.12,10.2,51,04/02
Cabernet,San Carlos,25,13.92,3.2,10.0,46,09/02
Cabernet,San Carlos,30,15.63,3.21,9.07,41,14/02
Cabernet,San Carlos,35,17.5,3.22,9.97,36,19/02
Cabernet,San Carlos,40,17.8,3.24,8.5,31,24/02
Cabernet,San Carlos,45,18.17,3.34,8.07,26,01/03
Cabernet,San Carlos,50,20.42,3.34,8.19,21,06/03
Cabernet,San Carlos,55,21.22,3.39,7.83,16,11/03
Cabernet,San Carlos,60,22.31,3.57,6.81,11,16/03
Cabernet,San Carlos,65,22.86,3.54,6.04,6,21/03
Cabernet,San Carlos,71,24.46,3.51,5.82,0,27/03
Syrah,Agrelo,15,14.57,3.16,9.94,25,30/01
Syrah,Agrelo,20,16.76,3.32,9.5,20,04/02
Syrah,Agrelo,25,19.39,3.32,7.55,15,09/02
Syrah,Agrelo,30,20.15,3.37,7.23,10,14/02
Syrah,Agrelo,35,22.18,3.52,6.26,5,19/02
Syrah,Agrelo,40,24.7,3.57,6.67,0,24/02
Malbec,Agrelo,15,13.68,3.23,10.73,37,30/01
Malbec,Agrelo,20,14.68,3.16,9.82,32,04/02
Malbec,Agrelo,25,16.58,3.14,8.92,27,09/02
Malbec,Agrelo,30,19.05,3.26,8.49,22,14/02
Malbec,Agrelo,35,18.85,3.37,8.0,17,19/02
Malbec,Agrelo,40,20.4,3.32,7.81,12,24/02
Malbec,Agrelo,45,21.31,3.46,6.16,7,01/03
Malbec,Agrelo,52,25.25,3.65,4.84,0,08/03
Cabernet,Drummond,15,13.15,3.11,10.6,50,30/01
Cabernet,Drummond,20,14.67,3.16,10.37,45,04/02
Cabernet,Drummond,25,15.34,3.2,9.09,40,09/02
Cabernet,Drummond,30,16.92,3.25,9.53,35,14/02
Cabernet,Drummond,35,16.09,3.37,8.73,30,19/02
Cabernet,Drummond,40,19.17,3.26,8.49,25,24/02
Cabernet,Drummond,45,19.17,3.31,8.42,20,01/03
Cabernet,Drummond,50,20.67,3.4,7.65,15,06/03
Cabernet,Drummond,55,22.09,3.43,7.03,10,11/03
Cabernet,Drummond,60,24.12,3.46,6.52,5,16/03
Cabernet,Drummond,65,24.53,3.56,6.36,0,21/03
Syrah,Drummond,15,14.44,3.07,10.54,43,30/01
Syrah,Drummond,20,14.45,3.17,10.03,38,04/02
Syrah,Drummond,25,16.2,3.24,9.9,33,09/02
Syrah,Drummond,30,17.47,3.25,9.19,28,14/02
Syrah,Drummond,35,19.04,3.24,8.56,23,19/02
Syrah,Drummond,40,20.01,3.33,8.27,18,24/02
Syrah,Drummond,45,20.79,3.39,7.29,13,01/03
Syrah,Drummond,50,22.08,3.38,6.4,8,06/03
Syrah,Drummond,58,24.07,3.43,6.01,0,14/03
Malbec,Agrelo,15,14.05,3.19,9.74,26,30/01
Malbec,Agrelo,20,17.05,3.19,9.07,21,04/02
Malbec,Agrelo,25,19.35,3.34,8.36,16,09/02
Malbec,Agrelo,30,20.29,3.31,7.56,11,14/02
Malbec,Agrelo,35,21.13,3.48,6.22,6,19/02
Malbec,Agrelo,41,25.25,3.65,4.84,0,25/02
Syrah,Drummond,15,13.6,3.07,10.93,44,30/01
Syrah,Drummond,20,14.7,3.1,9.83,39,04/02
Syrah,Drummond,25,15.72,3.23,10.16,34,09/02
Syrah,Drummond,30,17.38,3.26,9.69,29,14/02
Syrah,Drummond,35,18.79,3.31,8.3,24,19/02
Syrah,Drummond,40,19.65,3.34,7.96,19,24/02
Syrah,Drummond,45,21.34,3.35,7.58,14,01/03
Syrah,Drummond,50,22.34,3.39,6.67,9,06/03
Syrah,Drummond,59,22.98,3.44,6.75,0,15/03
Malbec,San Carlos,15,14.45,3.13,10.81,51,30/01
Malbec,San Carlos,20,14.82,3.13,9.86,46,04/02
Malbec,San Carlos,25,15.39,3.2,9.24,41,09/02
Malbec,San Carlos,30,16.55,3.28,9.0,36,14/02
Malbec,San Carlos,35,17.64,3.31,8.99,31,19/02
Malbec,San Carlos,40,18.83,3.29,8.03,26,24/02
Malbec,San Carlos,45,19.32,3.31,7.89,21,01/03
Malbec,San Carlos,50,21.15,3.31,7.5,16,06/03
Malbec,San Carlos,55,21.13,3.38,7.17,11,11/03
Malbec,San Carlos,60,22.13,3.49,6.14,6,16/03
Malbec,San Carlos,66,25.57,3.84,3.67,0,22/03
Malbec,Drummond,15,14.91,3.17,10.79,38,30/01
Malbec,Drummond,20,15.09,3.18,9.56,33,04/02
Malbec,Drummond,25,16.1,3.2,8.8,28,09/02
Malbec,Drummond,30,17.94,3.24,8.67,23,14/02
Malbec,Drummond,35,18.47,3.35,8.29,18,19/02
Malbec,Drummond,40,19.57,3.4,7.84,13,24/02
Malbec,Drummond,45,21.28,3.51,7.03,8,01/03
Malbec,Drummond,53,23.76,3.77,3.99,0,09/03
Malbec,Agrelo,15,13.93,3.15,9.91,39,30/01
Malbec,Agrelo,20,15.13,3.14,9.56,34,04/02
Malbec,Agrelo,25,17.1,3.29,9.4,29,09/02
Malbec,Agrelo,30,17.23,3.26,9.03,24,14/02
Malbec,Agrelo,35,19.14,3.44,8.23,19,19/02
Malbec,Agrelo,40,20.47,3.35,7.6,14,24/02
Malbec,Agrelo,45,21.59,3.45,7.29,9,01/03
Malbec,Agrelo,54,22.57,3.4,5.89,0,10/03
Cabernet,Drummond,15,13.64,3.14,10.97,47,30/01
Cabernet,Drummond,20,13.52,3.22,9.31,42,04/02
Cabernet,Drummond,25,15.66,3.31,9.78,37,09/02
Cabernet,Drummond,30,16.96,3.34,8.89,32,14/02
Cabernet,Drummond,35,18.12,3.31,8.46,27,19/02
Cabernet,Drummond,40,18.82,3.3,8.16,22,24/02
Cabernet,Drummond,45,20.43,3.37,7.86,17,01/03
Cabernet,Drummond,50,20.31,3.39,6.85,12,06/03
Cabernet,Drummond,55,22.57,3.46,6.64,7,11/03
Cabernet,Drummond,62,23.8,3.53,6.18,0,18/03
Malbec,Drummond,15,13.85,3.17,9.83,33,30/01
Malbec,Drummond,20,16.2,3.19,9.0,28,04/02
Malbec,Drummond,25,17.92,3.32,8.27,23,09/02
Malbec,Drummond,30,18.47,3.28,8.74,18,14/02
Malbec,Drummond,35,20.16,3.29,7.89,13,19/02
Malbec,Drummond,40,21.05,3.4,6.77,8,24/02
Malbec,Drummond,48,23.76,3.77,3.99,0,04/03
Syrah,Agrelo,15,14.48,3.15,10.24,29,30/01
Syrah,Agrelo,20,16.58,3.27,9.47,24,04/02
Syrah,Agrelo,25,18.81,3.23,8.71,19,09/02
Syrah,Agrelo,30,18.46,3.28,7.89,14,14/02
Syrah,Agrelo,35,21.35,3.39,7.06,9,19/02
Syrah,Agrelo,44,22.53,3.52,6.43,0,28/02
Malbec,San Carlos,15,13.91,3.07,10.7,42,30/01
Malbec,San Carlos,20,14.67,3.12,10.05,37,04/02
Malbec,San Carlos,25,15.45,3.18,9.37,32,09/02
Malbec,San Carlos,30,18.48,3.23,8.7,27,14/02
Malbec,San Carlos,35,18.96,3.25,8.45,22,19/02
Malbec,San Carlos,40,20.43,3.34,8.1,17,24/02
Malbec,San Carlos,45,21.2,3.36,7.2,12,01/03
Malbec,San Carlos,50,22.09,3.43,6.78,7,06/03
Malbec,San Carlos,57,25.57,3.84,3.67,0,13/03
Cabernet,Agrelo,15,13.57,3.18,10.41,43,30/01
Cabernet,Agrelo,20,14.53,3.17,10.26,38,04/02
Cabernet,Agrelo,25,16.32,3.09,9.47,33,09/02
Cabernet,Agrelo,30,17.36,3.26,8.71,28,14/02
Cabernet,Agrelo,35,19.05,3.36,7.72,23,19/02
Cabernet,Agrelo,40,19.26,3.34,8.15,18,24/02
Cabernet,Agrelo,45,20.88,3.35,7.56,13,01/03
Cabernet,Agrelo,50,21.96,3.43,6.82,8,06/03
Cabernet,Agrelo,58,23.56,3.46,6.52,0,14/03
Syrah,San Carlos,15,14.32,3.15,10.64,44,30/01
Syrah,San Carlos,20,15.28,3.15,9.71,39,04/02
Syrah,San Carlos,25,15.41,3.11,10.07,34,09/02
Syrah,San Carlos,30,16.57,3.24,8.87,29,14/02
Syrah,San Carlos,35,18.46,3.34,8.7,24,19/02
Syrah,San Carlos,40,19.2,3.33,8.02,19,24/02
